Segment,Country, Product , Discount Band ,Units Sold,Manufacturing Price,Sale Price,Date
Government,Germany, Paseo , Medium ,1259,£10.00,£7.00,01/04/2014
Government,Germany, Paseo , Medium ,1095,£10.00,£7.00,01/05/2014
Government,Germany, Paseo , Medium ,1366,£10.00,£20.00,01/06/2014
Small Business,Mexico, Paseo , Medium ,2460,£10.00,£300.00,01/06/2014
Government,United States of America, Paseo , Medium ,678,£10.00,£7.00,01/08/2014
Government,Germany, Paseo , Medium ,1598,£10.00,£7.00,01/08/2014
Government,Germany, Paseo , Medium ,2409,£10.00,£7.00,01/09/2013
Government,Germany, Paseo , Medium ,1934,£10.00,£20.00,01/09/2014
Government,Mexico, Paseo , Medium ,2993,£10.00,£20.00,01/09/2014
Government,Germany, Paseo , Medium ,2146,£10.00,£350.00,01/11/2013
Government,Mexico, Paseo , Medium ,1946,£10.00,£7.00,01/12/2013
Government,Mexico, Paseo , Medium ,1362,£10.00,£350.00,01/12/2014
Channel Partners,Canada, Velo , Medium ,598,£120.00,£12.00,01/03/2014
Government,United States of America, Velo , Medium ,2907,£120.00,£7.00,01/06/2014
Government,Germany, Velo , Medium ,2338,£120.00,£7.00,01/06/2014
Small Business,France, Velo , Medium ,386,£120.00,£300.00,01/11/2013
Small Business,Mexico, Velo , Medium ,635,£120.00,£300.00,01/12/2014
Government,France, VTT , Medium ,574.5,£250.00,£350.00,01/04/2014
Government,Germany, VTT , Medium ,2338,£250.00,£7.00,01/06/2014
Government,France, VTT , Medium ,381,£250.00,£350.00,01/08/2014
Government,Germany, VTT , Medium ,422,£250.00,£350.00,01/08/2014
Small Business,Canada, VTT , Medium ,2134,£250.00,£300.00,01/09/2014
Small Business,United States of America, VTT , Medium ,808,£250.00,£300.00,01/12/2013
Government,Canada, Amarilla , Medium ,708,£260.00,£20.00,01/06/2014
Government,United States of America, Amarilla , Medium ,2907,£260.00,£7.00,01/06/2014
Government,Germany, Amarilla , Medium ,1366,£260.00,£20.00,01/06/2014
Small Business,Mexico, Amarilla , Medium ,2460,£260.00,£300.00,01/06/2014
Government,Germany, Amarilla , Medium ,1520,£260.00,£20.00,01/11/2014
Midmarket,Germany, Amarilla , Medium ,711,£260.00,£15.00,01/12/2014
Channel Partners,Mexico, Amarilla , Medium ,1375,£260.00,£12.00,01/12/2013
Small Business,Mexico, Amarilla , Medium ,635,£260.00,£300.00,01/12/2014
Government,United States of America, VTT , Medium ,436.5,£250.00,£20.00,01/07/2014
Small Business,Canada, Carretera , Medium ,1094,£3.00,£300.00,01/06/2014
Channel Partners,Mexico, Carretera , Medium ,367,£3.00,£12.00,01/10/2013
Small Business,Canada, Montana , Medium ,3802.5,£5.00,£300.00,01/04/2014
Government,France, Montana , Medium ,1666,£5.00,£350.00,01/05/2014
Small Business,France, Montana , Medium ,322,£5.00,£300.00,01/09/2013
Channel Partners,Canada, Montana , Medium ,2321,£5.00,£12.00,01/11/2014
Enterprise,France, Montana , Medium ,1857,£5.00,£125.00,01/11/2013
Government,Canada, Montana , Medium ,1611,£5.00,£7.00,01/12/2013
Enterprise,United States of America, Montana , Medium ,2797,£5.00,£125.00,01/12/2014
Small Business,Germany, Montana , Medium ,334,£5.00,£300.00,01/12/2013
Small Business,Mexico, Paseo , Medium ,2565,£10.00,£300.00,01/01/2014
Government,Mexico, Paseo , Medium ,2417,£10.00,£350.00,01/01/2014
Midmarket,United States of America, Paseo , Medium ,3675,£10.00,£15.00,01/04/2014
Small Business,Canada, Paseo , Medium ,1094,£10.00,£300.00,01/06/2014
Midmarket,France, Paseo , Medium ,1227,£10.00,£15.00,01/10/2014
Channel Partners,Mexico, Paseo , Medium ,367,£10.00,£12.00,01/10/2013
Small Business,France, Paseo , Medium ,1324,£10.00,£300.00,01/11/2014
Channel Partners,Germany, Paseo , Medium ,1775,£10.00,£12.00,01/11/2013
Enterprise,United States of America, Paseo , Medium ,2797,£10.00,£125.00,01/12/2014
Midmarket,Mexico, Velo , Medium ,245,£120.00,£15.00,01/05/2014
Small Business,Canada, Velo , Medium ,3793.5,£120.00,£300.00,01/07/2014
Government,Germany, Velo , Medium ,1307,£120.00,£350.00,01/07/2014
Enterprise,Canada, Velo , Medium ,567,£120.00,£125.00,01/09/2014
Enterprise,Mexico, Velo , Medium ,2110,£120.00,£125.00,01/09/2014
Government,Canada, Velo , Medium ,1269,£120.00,£350.00,01/10/2014
Channel Partners,United States of America, VTT , Medium ,1956,£250.00,£12.00,01/01/2014
Small Business,Germany, VTT , Medium ,2659,£250.00,£300.00,01/02/2014
Government,United States of America, VTT , Medium ,1351.5,£250.00,£350.00,01/04/2014
Channel Partners,Germany, VTT , Medium ,880,£250.00,£12.00,01/05/2014
Small Business,United States of America, VTT , Medium ,1867,£250.00,£300.00,01/09/2014
Channel Partners,France, VTT , Medium ,2234,£250.00,£12.00,01/09/2013
Midmarket,France, VTT , Medium ,1227,£250.00,£15.00,01/10/2014
Enterprise,Mexico, VTT , Medium ,877,£250.00,£125.00,01/11/2014
Government,United States of America, Amarilla , Medium ,2071,£260.00,£350.00,01/09/2014
Government,Canada, Amarilla , Medium ,1269,£260.00,£350.00,01/10/2014
Midmarket,Germany, Amarilla , Medium ,970,£260.00,£15.00,01/11/2013
Government,Mexico, Amarilla , Medium ,1694,£260.00,£20.00,01/11/2014
Government,Germany, Carretera , Medium ,663,£3.00,£20.00,01/05/2014
Government,Canada, Carretera , Medium ,819,£3.00,£7.00,01/07/2014
Channel Partners,Germany, Carretera , Medium ,1580,£3.00,£12.00,01/09/2014
Government,Mexico, Carretera , Medium ,521,£3.00,£7.00,01/12/2014
Government,United States of America, Paseo , Medium ,973,£10.00,£20.00,01/03/2014
Government,Mexico, Paseo , Medium ,1038,£10.00,£20.00,01/06/2014
Government,Germany, Paseo , Medium ,360,£10.00,£7.00,01/10/2014
Channel Partners,France, Velo , Medium ,1967,£120.00,£12.00,01/03/2014
Midmarket,Mexico, Velo , Medium ,2628,£120.00,£15.00,01/04/2014
Government,Germany, VTT , Medium ,360,£250.00,£7.00,01/10/2014
Government,France, VTT , Medium ,2682,£250.00,£20.00,01/11/2013
Government,Mexico, VTT , Medium ,521,£250.00,£7.00,01/12/2014
Government,Mexico, Amarilla , Medium ,1038,£260.00,£20.00,01/06/2014
Midmarket,Canada, Amarilla , Medium ,1630.5,£260.00,£15.00,01/07/2014
Channel Partners,France, Amarilla , Medium ,306,£260.00,£12.00,01/12/2013
Channel Partners,United States of America, Carretera , High ,386,£3.00,£12.00,01/10/2013
Government,United States of America, Montana , High ,2328,£5.00,£7.00,01/09/2014
Channel Partners,United States of America, Paseo , High ,386,£10.00,£12.00,01/10/2013
Enterprise,United States of America, Carretera , High ,3445.5,£3.00,£125.00,01/04/2014
Enterprise,France, Carretera , High ,1482,£3.00,£125.00,01/12/2013
Government,United States of America, Montana , High ,2313,£5.00,£350.00,01/05/2014
Enterprise,United States of America, Montana , High ,1804,£5.00,£125.00,01/11/2013
Midmarket,France, Montana , High ,2072,£5.00,£15.00,01/12/2014
Government,France, Paseo , High ,1954,£10.00,£20.00,01/03/2014
Small Business,Mexico, Paseo , High ,591,£10.00,£300.00,01/05/2014
Midmarket,France, Paseo , High ,2167,£10.00,£15.00,01/10/2013
Government,Germany, Paseo , High ,241,£10.00,£20.00,01/10/2014
Midmarket,Germany, Velo , High ,681,£120.00,£15.00,01/01/2014
Midmarket,Germany, Velo , High ,510,£120.00,£15.00,01/04/2014
Midmarket,United States of America, Velo , High ,790,£120.00,£15.00,01/05/2014
Government,France, Velo , High ,639,£120.00,£350.00,01/07/2014
Enterprise,United States of America, Velo , High ,1596,£120.00,£125.00,01/09/2014
Small Business,United States of America, Velo , High ,2294,£120.00,£300.00,01/10/2013
Government,Germany, Velo , High ,241,£120.00,£20.00,01/10/2014
Government,Germany, Velo , High ,2665,£120.00,£7.00,01/11/2014
Enterprise,Canada, Velo , High ,1916,£120.00,£125.00,01/12/2013
Small Business,France, Velo , High ,853,£120.00,£300.00,01/12/2014
Enterprise,Mexico, VTT , High ,341,£250.00,£125.00,01/05/2014
Midmarket,Mexico, VTT , High ,641,£250.00,£15.00,01/07/2014
Government,United States of America, VTT , High ,2807,£250.00,£350.00,01/08/2014
Small Business,Mexico, VTT , High ,432,£250.00,£300.00,01/09/2014
Small Business,United States of America, VTT , High ,2294,£250.00,£300.00,01/10/2013
Midmarket,France, VTT , High ,2167,£250.00,£15.00,01/10/2013
Enterprise,Canada, VTT , High ,2529,£250.00,£125.00,01/11/2014
Government,Germany, VTT , High ,1870,£250.00,£350.00,01/12/2013
Enterprise,United States of America, Amarilla , High ,579,£260.00,£125.00,01/01/2014
Government,Canada, Amarilla , High ,2240,£260.00,£350.00,01/02/2014
Small Business,United States of America, Amarilla , High ,2993,£260.00,£300.00,01/03/2014
Channel Partners,Canada, Amarilla , High ,3520.5,£260.00,£12.00,01/04/2014
Government,Mexico, Amarilla , High ,2039,£260.00,£20.00,01/05/2014
Channel Partners,Germany, Amarilla , High ,2574,£260.00,£12.00,01/08/2014
Government,Canada, Amarilla , High ,707,£260.00,£350.00,01/09/2014
Midmarket,France, Amarilla , High ,2072,£260.00,£15.00,01/12/2014
Small Business,France, Amarilla , High ,853,£260.00,£300.00,01/12/2014
Channel Partners,France, Carretera , High ,1198,£3.00,£12.00,01/10/2013
Government,France, Paseo , High ,2532,£10.00,£7.00,01/04/2014
Channel Partners,France, Paseo , High ,1198,£10.00,£12.00,01/10/2013
Midmarket,Canada, Velo , High ,384,£120.00,£15.00,01/01/2014
Channel Partners,Germany, Velo , High ,472,£120.00,£12.00,01/10/2014
Government,United States of America, VTT , High ,1579,£250.00,£7.00,01/03/2014
Channel Partners,Mexico, VTT , High ,1005,£250.00,£12.00,01/09/2013
Midmarket,United States of America, Amarilla , High ,3199.5,£260.00,£15.00,01/07/2014
Channel Partners,Germany, Amarilla , High ,472,£260.00,£12.00,01/10/2014
Channel Partners,Canada, Carretera , High ,1937,£3.00,£12.00,01/02/2014
Government,Germany, Carretera , High ,792,£3.00,£350.00,01/03/2014
Small Business,Germany, Carretera , High ,2811,£3.00,£300.00,01/07/2014
Enterprise,France, Carretera , High ,2441,£3.00,£125.00,01/10/2014
Midmarket,Canada, Carretera , High ,1560,£3.00,£15.00,01/11/2013
Government,Mexico, Carretera , High ,2706,£3.00,£7.00,01/11/2013
Government,Germany, Montana , High ,766,£5.00,£350.00,01/01/2014
Government,Germany, Montana , High ,2992,£5.00,£20.00,01/10/2013
Midmarket,Mexico, Montana , High ,2157,£5.00,£15.00,01/12/2014
Small Business,Canada, Paseo , High ,873,£10.00,£300.00,01/01/2014
Government,Mexico, Paseo , High ,1122,£10.00,£20.00,01/03/2014
Government,Canada, Paseo , High ,2104.5,£10.00,£350.00,01/07/2014
Channel Partners,Canada, Paseo , High ,4026,£10.00,£12.00,01/07/2014
Channel Partners,France, Paseo , High ,2425.5,£10.00,£12.00,01/07/2014
Government,Canada, Paseo , High ,2394,£10.00,£20.00,01/08/2014
Midmarket,Mexico, Paseo , High ,1984,£10.00,£15.00,01/08/2014
Enterprise,France, Paseo , High ,2441,£10.00,£125.00,01/10/2014
Government,Germany, Paseo , High ,2992,£10.00,£20.00,01/10/2013
Small Business,Canada, Paseo , High ,1366,£10.00,£300.00,01/11/2014
Government,France, Velo , High ,2805,£120.00,£20.00,01/09/2013
Midmarket,Mexico, Velo , High ,655,£120.00,£15.00,01/09/2013
Government,Mexico, Velo , High ,344,£120.00,£350.00,01/10/2013
Government,Canada, Velo , High ,1808,£120.00,£7.00,01/11/2014
Channel Partners,France, VTT , High ,1734,£250.00,£12.00,01/01/2014
Enterprise,Mexico, VTT , High ,554,£250.00,£125.00,01/01/2014
Government,Canada, VTT , High ,2935,£250.00,£20.00,01/11/2013
Enterprise,Germany, Amarilla , High ,3165,£260.00,£125.00,01/01/2014
Government,Mexico, Amarilla , High ,2629,£260.00,£20.00,01/01/2014
Enterprise,France, Amarilla , High ,1433,£260.00,£125.00,01/05/2014
Enterprise,Mexico, Amarilla , High ,947,£260.00,£125.00,01/09/2013
Government,Mexico, Amarilla , High ,344,£260.00,£350.00,01/10/2013
Midmarket,Mexico, Amarilla , High ,2157,£260.00,£15.00,01/12/2014
Government,United States of America, Paseo , High ,380,£10.00,£7.00,01/09/2013
Government,Mexico, Carretera , High ,886,£3.00,£350.00,01/06/2014
Enterprise,Canada, Carretera , High ,2416,£3.00,£125.00,01/09/2013
Enterprise,Mexico, Carretera , High ,2156,£3.00,£125.00,01/10/2014
Midmarket,Canada, Carretera , High ,2689,£3.00,£15.00,01/11/2014
Midmarket,United States of America, Montana , High ,677,£5.00,£15.00,01/03/2014
Small Business,France, Montana , High ,1773,£5.00,£300.00,01/04/2014
Government,Mexico, Montana , High ,2420,£5.00,£7.00,01/09/2014
Government,Canada, Montana , High ,2734,£5.00,£7.00,01/10/2014
Government,Mexico, Montana , High ,1715,£5.00,£20.00,01/10/2013
Small Business,France, Montana , High ,1186,£5.00,£300.00,01/12/2013
Small Business,United States of America, Paseo , High ,3495,£10.00,£300.00,01/01/2014
Government,Mexico, Paseo , High ,886,£10.00,£350.00,01/06/2014
Enterprise,Mexico, Paseo , High ,2156,£10.00,£125.00,01/10/2014
Government,Mexico, Paseo , High ,905,£10.00,£20.00,01/10/2014
Government,Mexico, Paseo , High ,1715,£10.00,£20.00,01/10/2013
Government,France, Paseo , High ,1594,£10.00,£350.00,01/11/2014
Small Business,Germany, Paseo , High ,1359,£10.00,£300.00,01/11/2014
Small Business,Mexico, Paseo , High ,2150,£10.00,£300.00,01/11/2014
Government,Mexico, Paseo , High ,1197,£10.00,£350.00,01/11/2014
Midmarket,Mexico, Paseo , High ,380,£10.00,£15.00,01/12/2013
Government,Mexico, Paseo , High ,1233,£10.00,£20.00,01/12/2014
Government,Mexico, Velo , High ,1395,£120.00,£350.00,01/07/2014
Government,United States of America, Velo , High ,986,£120.00,£350.00,01/10/2014
Government,Mexico, Velo , High ,905,£120.00,£20.00,01/10/2014
Channel Partners,Canada, VTT , High ,2109,£250.00,£12.00,01/05/2014
Midmarket,France, VTT , High ,3874.5,£250.00,£15.00,01/07/2014
Government,Canada, VTT , High ,623,£250.00,£350.00,01/09/2013
Government,United States of America, VTT , High ,986,£250.00,£350.00,01/10/2014
Enterprise,United States of America, VTT , High ,2387,£250.00,£125.00,01/11/2014
Government,Mexico, VTT , High ,1233,£250.00,£20.00,01/12/2014
Government,United States of America, Amarilla , High ,270,£260.00,£350.00,01/02/2014
Government,France, Amarilla , High ,3421.5,£260.00,£7.00,01/07/2014
Government,Canada, Amarilla , High ,2734,£260.00,£7.00,01/10/2014
Midmarket,United States of America, Amarilla , High ,2548,£260.00,£15.00,01/11/2013
Government,France, Carretera , High ,2521.5,£3.00,£20.00,01/01/2014
Channel Partners,Mexico, Montana , High ,2661,£5.00,£12.00,01/05/2014
Government,Germany, Paseo , High ,1531,£10.00,£20.00,01/12/2014
Government,France, VTT , High ,1491,£250.00,£7.00,01/03/2014
Government,Germany, VTT , High ,1531,£250.00,£20.00,01/12/2014
Channel Partners,Canada, Amarilla , High ,2761,£260.00,£12.00,01/09/2013
Midmarket,United States of America, Carretera , High ,2567,£3.00,£15.00,01/06/2014
Midmarket,United States of America, VTT , High ,2567,£250.00,£15.00,01/06/2014
Government,Canada, Carretera , High ,923,£3.00,£350.00,01/03/2014
Government,France, Carretera , High ,1790,£3.00,£350.00,01/03/2014
Government,Germany, Carretera , High ,442,£3.00,£20.00,01/09/2013
Government,United States of America, Montana , High ,982.5,£5.00,£350.00,01/01/2014
Government,United States of America, Montana , High ,1298,£5.00,£7.00,01/02/2014
Channel Partners,Mexico, Montana , High ,604,£5.00,£12.00,01/06/2014
Government,Mexico, Montana , High ,2255,£5.00,£20.00,01/07/2014
Government,Canada, Montana , High ,1249,£5.00,£20.00,01/10/2014
Government,United States of America, Paseo , High ,1438.5,£10.00,£7.00,01/01/2014
Small Business,Germany, Paseo , High ,807,£10.00,£300.00,01/01/2014
Government,United States of America, Paseo , High ,2641,£10.00,£20.00,01/02/2014
Government,Germany, Paseo , High ,2708,£10.00,£20.00,01/02/2014
Government,Canada, Paseo , High ,2632,£10.00,£350.00,01/06/2014
Enterprise,Canada, Paseo , High ,1583,£10.00,£125.00,01/06/2014
Channel Partners,Mexico, Paseo , High ,571,£10.00,£12.00,01/07/2014
Government,France, Paseo , High ,2696,£10.00,£7.00,01/08/2014
Midmarket,Canada, Paseo , High ,1565,£10.00,£15.00,01/10/2014
Government,Canada, Paseo , High ,1249,£10.00,£20.00,01/10/2014
Government,Germany, Paseo , High ,357,£10.00,£350.00,01/11/2014
Channel Partners,Germany, Paseo , High ,1013,£10.00,£12.00,01/12/2014
Midmarket,France, Velo , High ,3997.5,£120.00,£15.00,01/01/2014
Government,Canada, Velo , High ,2632,£120.00,£350.00,01/06/2014
Government,France, Velo , High ,1190,£120.00,£7.00,01/06/2014
Channel Partners,Mexico, Velo , High ,604,£120.00,£12.00,01/06/2014
Midmarket,Germany, Velo , High ,660,£120.00,£15.00,01/09/2013
Channel Partners,Mexico, Velo , High ,410,£120.00,£12.00,01/10/2014
Small Business,Mexico, Velo , High ,2605,£120.00,£300.00,01/11/2013
Channel Partners,Germany, Velo , High ,1013,£120.00,£12.00,01/12/2014
Enterprise,Canada, VTT , High ,1583,£250.00,£125.00,01/06/2014
Midmarket,Canada, VTT , High ,1565,£250.00,£15.00,01/10/2014
Enterprise,Canada, Amarilla , High ,1659,£260.00,£125.00,01/01/2014
Government,France, Amarilla , High ,1190,£260.00,£7.00,01/06/2014
Channel Partners,Mexico, Amarilla , High ,410,£260.00,£12.00,01/10/2014
Channel Partners,Germany, Amarilla , High ,1770,£260.00,£12.00,01/12/2013
Government,Mexico, Carretera , High ,2579,£3.00,£20.00,01/04/2014
Government,United States of America, Carretera , High ,1743,£3.00,£20.00,01/05/2014
Government,United States of America, Carretera , High ,2996,£3.00,£7.00,01/10/2013
Government,Germany, Carretera , High ,280,£3.00,£7.00,01/12/2014
Government,France, Montana , High ,293,£5.00,£7.00,01/02/2014
Government,United States of America, Montana , High ,2996,£5.00,£7.00,01/10/2013
Midmarket,Germany, Paseo , High ,278,£10.00,£15.00,01/02/2014
Government,Canada, Paseo , High ,2428,£10.00,£20.00,01/03/2014
Midmarket,United States of America, Paseo , High ,1767,£10.00,£15.00,01/09/2014
Channel Partners,France, Paseo , High ,1393,£10.00,£12.00,01/10/2014
Government,Germany, VTT , High ,280,£250.00,£7.00,01/12/2014
Channel Partners,France, Amarilla , High ,1393,£260.00,£12.00,01/10/2014
Channel Partners,United States of America, Amarilla , High ,2015,£260.00,£12.00,01/12/2013
Small Business,Mexico, Carretera , High ,801,£3.00,£300.00,01/07/2014
Enterprise,France, Carretera , High ,1023,£3.00,£125.00,01/09/2013
Small Business,Canada, Carretera , High ,1496,£3.00,£300.00,01/10/2014
Small Business,United States of America, Carretera , High ,1010,£3.00,£300.00,01/10/2014
Midmarket,Germany, Carretera , High ,1513,£3.00,£15.00,01/11/2014
Midmarket,Canada, Carretera , High ,2300,£3.00,£15.00,01/12/2014
Enterprise,Mexico, Carretera , High ,2821,£3.00,£125.00,01/12/2013
Government,Canada, Montana , High ,2227.5,£5.00,£350.00,01/01/2014
Government,Germany, Montana , High ,1199,£5.00,£350.00,01/04/2014
Government,Canada, Montana , High ,200,£5.00,£350.00,01/05/2014
Government,Canada, Montana , High ,388,£5.00,£7.00,01/09/2014
Government,Mexico, Montana , High ,1727,£5.00,£7.00,01/10/2013
Midmarket,Canada, Montana , High ,2300,£5.00,£15.00,01/12/2014
Government,Mexico, Paseo , High ,260,£10.00,£20.00,01/02/2014
Midmarket,Canada, Paseo , High ,2470,£10.00,£15.00,01/09/2013
Midmarket,Canada, Paseo , High ,1743,£10.00,£15.00,01/10/2013
Channel Partners,United States of America, Paseo , High ,2914,£10.00,£12.00,01/10/2014
Government,France, Paseo , High ,1731,£10.00,£7.00,01/10/2014
Government,Canada, Paseo , High ,700,£10.00,£350.00,01/11/2014
Channel Partners,Canada, Paseo , High ,2222,£10.00,£12.00,01/11/2013
Government,United States of America, Paseo , High ,1177,£10.00,£350.00,01/11/2014
Government,France, Paseo , High ,1922,£10.00,£350.00,01/11/2013
Enterprise,Mexico, Velo , High ,1575,£120.00,£125.00,01/02/2014
Government,United States of America, Velo , High ,606,£120.00,£20.00,01/04/2014
Small Business,United States of America, Velo , High ,2460,£120.00,£300.00,01/07/2014
Small Business,Canada, Velo , High ,269,£120.00,£300.00,01/10/2013
Small Business,Germany, Velo , High ,2536,£120.00,£300.00,01/11/2013
Government,Mexico, VTT , High ,2903,£250.00,£7.00,01/03/2014
Small Business,United States of America, VTT , High ,2541,£250.00,£300.00,01/08/2014
Small Business,Canada, VTT , High ,269,£250.00,£300.00,01/10/2013
Small Business,Canada, VTT , High ,1496,£250.00,£300.00,01/10/2014
Small Business,United States of America, VTT , High ,1010,£250.00,£300.00,01/10/2014
Government,France, VTT , High ,1281,£250.00,£350.00,01/12/2013
Small Business,Canada, Amarilla , High ,888,£260.00,£300.00,01/03/2014
Enterprise,United States of America, Amarilla , High ,2844,£260.00,£125.00,01/05/2014
Channel Partners,France, Amarilla , High ,2475,£260.00,£12.00,01/08/2014
Midmarket,Canada, Amarilla , High ,1743,£260.00,£15.00,01/10/2013
Channel Partners,United States of America, Amarilla , High ,2914,£260.00,£12.00,01/10/2014
Government,France, Amarilla , High ,1731,£260.00,£7.00,01/10/2014
Government,Mexico, Amarilla , High ,1727,£260.00,£7.00,01/10/2013
Midmarket,Mexico, Amarilla , High ,1870,£260.00,£15.00,01/11/2013
Enterprise,France, Carretera , High ,1174,£3.00,£125.00,01/08/2014
Enterprise,Germany, Carretera , High ,2767,£3.00,£125.00,01/08/2014
Enterprise,Germany, Carretera , High ,1085,£3.00,£125.00,01/10/2014
Small Business,Mexico, Montana , High ,546,£5.00,£300.00,01/10/2014
Government,Germany, Paseo , High ,1158,£10.00,£20.00,01/03/2014
Midmarket,Canada, Paseo , High ,1614,£10.00,£15.00,01/04/2014
Government,Mexico, Paseo , High ,2535,£10.00,£7.00,01/04/2014
Government,Mexico, Paseo , High ,2851,£10.00,£350.00,01/05/2014
Midmarket,Canada, Paseo , High ,2559,£10.00,£15.00,01/08/2014
Government,United States of America, Paseo , High ,267,£10.00,£20.00,01/10/2013
Enterprise,Germany, Paseo , High ,1085,£10.00,£125.00,01/10/2014
Midmarket,Germany, Paseo , High ,1175,£10.00,£15.00,01/10/2014
Government,United States of America, Paseo , High ,2007,£10.00,£350.00,01/11/2013
Government,Mexico,,,2151,£10.00,£350.00,01/11/2013
Channel Partners,United States of America, Paseo , High ,914,£10.00,£12.00,01/12/2014
Government,France, Paseo , High ,293,£10.00,£20.00,01/12/2014
Channel Partners,Mexico, Velo , High ,500,£120.00,£12.00,01/03/2014
Midmarket,France, Velo , High ,2826,£120.00,£15.00,01/05/2014
Enterprise,France, Velo , High ,663,£120.00,£125.00,01/09/2014
Small Business,United States of America, Velo , High ,2574,£120.00,£300.00,01/11/2013
Enterprise,United States of America, Velo , High ,2438,£120.00,£125.00,01/12/2013
Channel Partners,United States of America, Velo , High ,914,£120.00,£12.00,01/12/2014
Government,Canada, VTT , High ,865.5,£250.00,£20.00,01/07/2014
Midmarket,Germany, VTT , High ,492,£250.00,£15.00,01/07/2014
Government,United States of America, VTT , High ,267,£250.00,£20.00,01/10/2013
Midmarket,Germany, VTT , High ,1175,£250.00,£15.00,01/10/2014
Enterprise,Canada, VTT , High ,2954,£250.00,£125.00,01/11/2013
Enterprise,Germany, VTT , High ,552,£250.00,£125.00,01/11/2014
Government,France, VTT , High ,293,£250.00,£20.00,01/12/2014
Small Business,France, Amarilla , High ,2475,£260.00,£300.00,01/03/2014
Small Business,Mexico, Amarilla , High ,546,£260.00,£300.00,01/10/2014
Government,Mexico, Montana , High ,1368, ,£7.00,01/02/2014
Government,Canada, Paseo , High ,723,£10.00,£7.00,01/04/2014
Channel Partners,United States of America, VTT , High ,1806,£250.00,£12.00,01/05/2014
